State/Union Territory,Power_Requirement_Net_Crore_Units_kiloWatt-Hour,Availability_Of_Power_Net_Crore_Units_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt,End_Year,population(million),Region,rel_pop,rel_infras_eco,Region_means_encoded,Region_encoded_normalized,Region_encoded_standardized
Jharkhand,403.0,387.0,2017.0,2006,26.968641114982578,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Karnataka,3460.0,3435.0,7785.0,2006,52.85428527465764,SR,3,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Kerala,1367.0,1358.0,3496.0,2006,31.848030018761726,SR,2,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Lakshadweep,2.0,2.0,10.0,2006,0.05054334091483447,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Madhya Pradesh,3685.0,3162.0,6199.0,2006,60.35502958579882,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Maharashtra,10277.0,8412.0,16157.0,2006,96.89011748445058,WR,4,3,4541.141176470588,1.0,1.1983805361083646
Manipur,51.0,49.0,158.0,2006,2.1710234824988923,NER,3,1,156.97037037037038,0.0,-1.6522266724460715
Meghalaya,138.0,114.0,288.0,2006,2.310498581272801,NER,3,3,156.97037037037038,0.0,-1.6522266724460715
Mizoram,23.0,22.0,117.0,2006,0.9053497942386831,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Nagaland,41.0,39.0,103.0,2006,1.9959058341862845,NER,2,1,156.97037037037038,0.0,-1.6522266724460715
Odisha,1521.0,1501.0,3476.0,2006,36.80725846002942,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Puducherry,168.0,168.0,260.0,2006,0.9754964580188131,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Punjab,3568.0,3259.0,6266.0,2006,24.359070184617682,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Rajasthan,3205.0,3088.0,7716.0,2006,56.505032021957916,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Sikkim,21.0,21.0,114.0,2006,0.5408189544166881,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Tamil Nadu,5419.0,5385.0,12331.0,2006,62.39860950173812,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Tripura,75.0,67.0,244.0,2006,3.2180595581171954,NER,4,2,156.97037037037038,0.0,-1.6522266724460715
Uttar Pradesh,5568.0,4403.0,8597.0,2006,166.21366553416385,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Uttarakhand,516.0,501.0,1474.0,2006,8.492964909306663,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
West Bengal,2494.0,2451.0,5411.0,2006,80.1766437684004,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andaman and Nicobar Islands,24.0,19.0,71.0,2007,0.3561387066541706,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andhra Pradesh,6096.0,5828.0,11642.0,2007,76.21289394533804,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Arunachal Pradesh,29.0,26.0,179.0,2007,1.102161933022467,NER,1,2,156.97037037037038,0.0,-1.6522266724460715
Assam,430.0,398.0,1181.0,2007,26.622073578595316,NER,4,4,156.97037037037038,0.0,-1.6522266724460715
Bihar,843.0,774.0,1629.0,2007,82.95819935691318,ER,4,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Chandigarh,134.0,134.0,92.0,2007,0.8999932836322116,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Chhattisgarh,1406.0,1317.0,1649.0,2007,20.83531086853346,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Dadra and Nagar Haveli,292.0,288.0,40.0,2007,0.22056627327242234,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Daman and Diu,160.0,141.0,16.0,2007,0.15842874639040888,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Delhi,2240.0,2201.0,3614.0,2007,13.848864279871641,NR,2,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Goa,262.0,261.0,311.0,2007,1.3497440140662977,WR,2,2,4541.141176470588,1.0,1.1983805361083646
Gujarat,6246.0,5408.0,10270.0,2007,50.66991473812424,WR,3,3,4541.141176470588,1.0,1.1983805361083646
Haryana,2625.0,2313.0,3959.0,2007,21.142595978062158,NR,3,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Himachal Pradesh,514.0,500.0,1836.0,2007,6.082725060827251,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jammu and Kashmir,1173.0,798.0,1626.0,2007,10.139771283354511,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
